run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count
EXP-01913-01914_012026,EXP-01913,CP08944-001-015,hColon_785g,JAVCTQ,ZBB4M9,14026848.77,5923215.249,144274683,0.8117945365,0.8089532382,0.8140015532,2245.361611,2252.395032,0.0003471855585,0.0005469793294,0.0002862609433,0.0003200715454,0.0002616831437,0.5025123263,0.4108425357,84981,0.0001647427072,0.6058452712,0.9247236121,355,162,192,1530,667,862,9.836187678,xenium_cell_segmentation_stains_v2,0.9073439945,0.6567350349,0.2506089596,0.09265600546,55810,21297,7874
EXP-01913-01914_01-23-2026,EXP-01913,TIS10546-002-002-032,mMulti_480g,MNANMQ,,14567694.21,7450972.306,43148038,0.8322126818,,,553.5729305,555.2812211,0.0004472710533,0.0005375832918,,0.0001801846398,,0.08648862708,,202015,2.48E-05,1.386732842,0.9588813749,71,,,189,,,4.604643004,xenium_cell_segmentation_stains_v1,0.9943321041,0.1314605351,0.8628715689,0.005667895948,26557,174313,1145
EXP-01913-01914_012026,EXP-01913,TIS11578-001-003,hColon_785g,JAVCTQ,ZBB4M9,49733305.47,14900069.41,58072205,0.9033435743,0.9036191912,0.9031456557,462.304231,331.3468256,0.001828110528,9.52E-05,0.001815941845,0.0002435606947,0.0002557431458,0.3823902907,0.4015167389,175213,0.00207747142,0.3523051572,0.8501641534,104,50,54,209,90,117,9.423205896,xenium_cell_segmentation_stains_v2,0.9628052713,0.2791744905,0.6836307808,0.0371947287,48915,119781,6517
EXP-01913-01914_012026,EXP-01913,TIS11578-003-003,hColon_785g,JAVCTQ,ZBB4M9,82688483.12,24340550.57,154062134,0.9086586253,0.9088654182,0.9085137669,565.0646461,513.7802066,0.001434698535,0.0001872143447,0.001514559413,0.0002736392493,0.0003006092307,0.4296136214,0.4719564921,392853,0.002102567627,0.4751000202,0.8117304866,109,53,56,224,95,125,8.601399315,xenium_cell_segmentation_stains_v2,0.9760215653,0.375909055,0.6001125103,0.02397843468,147677,235756,9420
EXP-01913-01914_01-23-2026,EXP-01913,TMA00319,mMulti_480g,MNANMQ,,6338621.105,180796.6003,495939,0.8344070355,,,274.7441974,234.9374929,0.01123581919,0.0005052739163,,0.00354017502,,1.69928401,,2514,0.01789976134,0.0396616229,0.8564742841,32,,,55,,,7.28702831,xenium_cell_segmentation_stains_v1,0.9188544153,0.0600636436,0.8587907717,0.08114558473,151,2159,204
EXP-01913-01914_012026,EXP-01914,CP08944-001-016,hColon_785g,JAVCTQ,ZBB4M9,10970084.26,4982863.086,109370425,0.8338700186,0.8318242786,0.8354717692,2028.078801,2068.174305,0.0003015044854,0.0004166076138,0.0003237060341,0.0002512970169,0.0002678621779,0.3945363165,0.4205436192,70932,0.0001127840749,0.6465948513,0.942250101,343,157,185,1439,630,807,8.873237993,xenium_cell_segmentation_stains_v2,0.9371510743,0.733463035,0.2036880392,0.06284892573,52026,14448,4458
EXP-01913-01914_01-23-2026,EXP-01914,TIS10546-002-002-030,mMulti_480g,TV46KD,,15018787.45,8060326.57,55850374,0.7151450588,,,706.1416176,681.4708253,0.001773487984,0.002397889616,,0.0008667599676,,0.4160447845,,223649,0.0001162535938,1.489128205,0.9834987676,92,,,231,,,8.224256852,xenium_cell_segmentation_stains_v1,0.9924658729,0.008808445376,0.9836574275,0.007534127137,1970,219994,1685
EXP-01913-01914_01-23-2026,EXP-01914,TIS10758-001-001,mMulti_480g,TV46KD,,25955602.84,6624138.308,23417791,0.8694811975,,,347.9967917,314.881031,0.008877666208,0.000368928654,,0.00338798847,,1.626234466,,105815,0.002060199405,0.4076769114,0.8906969492,55,,,120,,,8.878510828,xenium_cell_segmentation_stains_v1,0.9666304399,0.3420214525,0.6246089874,0.03336956008,36191,66093,3531
EXP-01913-01914_012026,EXP-01914,TIS11578-005-003,hColon_785g,JAVCTQ,ZBB4M9,39291861.23,2710514.978,9058364,0.8943798414,0.8956505717,0.8930132749,394.2219729,287.5522572,0.005840938188,9.88E-05,0.00614564925,0.0004380765861,0.0005239739559,0.6877802402,0.8226391108,38806,0.03929804669,0.0987634558,0.8604364982,70,35,35,112,58,52,9.351680007,xenium_cell_segmentation_stains_v2,0.8899654693,0.3030716899,0.5868937793,0.1100345307,11761,22775,4270
EXP-01913-01914_012026,EXP-01914,TIS11578-007-003,hColon_785g,JAVCTQ,ZBB4M9,84931658.76,32107008.2,158035988,0.8641914285,0.8647840427,0.8637228251,493.0172179,406.1189233,0.002016176918,0.0001646492835,0.002184019691,0.0003338148147,0.0003584159636,0.524089259,0.5627130629,499154,0.003802433718,0.5877125294,0.8250819174,116,56,60,203,93,108,9.371426594,xenium_cell_segmentation_stains_v2,0.9673387371,0.1653978532,0.801940884,0.03266126286,82559,400292,16303
