run_name,region_name,difference_type,difference_detail
EX-002024-002031_032626,TSS04855-004,rounding_only,adjusted_genomic_control_probe_rate: [metric=6.91063755652287e-05] vs [totalqc=6.91E-05] | negative_control_probe_counts_per_control_per_cell: [metric=2.15246729805707e-05] vs [totalqc=2.15E-05] | genomic_control_probe_counts_per_control_per_cell: [metric=9.87936797731302e-06] vs [totalqc=9.88E-06]
EX-002024-002031_032626,TSS04855-005,rounding_only,negative_control_probe_counts_per_control_per_cell: [metric=2.03282081608516e-05] vs [totalqc=2.03E-05] | genomic_control_probe_counts_per_control_per_cell: [metric=1.25715573041754e-05] vs [totalqc=1.26E-05]
EX-002024-002031_032626,TSS06404-004,rounding_only,adjusted_negative_control_probe_rate: [metric=8.8534371405546e-05] vs [totalqc=8.85E-05] | adjusted_genomic_control_probe_rate: [metric=2.74525182652856e-05] vs [totalqc=2.75E-05] | negative_control_probe_counts_per_control_per_cell: [metric=1.00113813598617e-05] vs [totalqc=1.00E-05] | genomic_control_probe_counts_per_control_per_cell: [metric=3.01094176236443e-06] vs [totalqc=3.01E-06]
EX-002024-002031_032626,TSS06404-005,rounding_only,adjusted_negative_control_probe_rate: [metric=8.10618450974977e-05] vs [totalqc=8.11E-05] | adjusted_genomic_control_probe_rate: [metric=3.43118921047609e-05] vs [totalqc=3.43E-05] | negative_control_probe_counts_per_control_per_cell: [metric=8.54554776961203e-06] vs [totalqc=8.55E-06] | genomic_control_probe_counts_per_control_per_cell: [metric=3.25544676937601e-06] vs [totalqc=3.26E-06]
EX-002024-002031_032626,TSS08944-005,rounding_only,adjusted_genomic_control_probe_rate: [metric=6.21330897079278e-05] vs [totalqc=6.21E-05] | genomic_control_probe_counts_per_control_per_cell: [metric=4.48320811562818e-05] vs [totalqc=4.48E-05]
EX-002024-002031_032626,TSS08944-006,rounding_only,adjusted_genomic_control_probe_rate: [metric=7.88297365865966e-05] vs [totalqc=7.88E-05] | genomic_control_probe_counts_per_control_per_cell: [metric=6.35417918509033e-05] vs [totalqc=6.35E-05]
EXP-01913-01914_01-23-2026,TIS10546-002-002-032,rounding_only,fraction_empty_cells: [metric=2.47506373288742e-05] vs [totalqc=2.48E-05]
EXP-01913-01914_012026,TIS11578-001-003,rounding_only,adjusted_negative_control_codeword_rate: [metric=9.52316294127713e-05] vs [totalqc=9.52E-05]
EXP-01913-01914_012026,TIS11578-005-003,rounding_only,adjusted_negative_control_codeword_rate: [metric=9.87814115419712e-05] vs [totalqc=9.88E-05]
EXP-01915-01916_01-14-2026,TIS10546-002-002-028,rounding_only,fraction_empty_cells: [metric=7.10476418843697e-05] vs [totalqc=7.10E-05]
EXP-01939-01940_1-30-2026,TIS11578-017-003,rounding_only,adjusted_negative_control_codeword_rate: [metric=6.12701532057062e-05] vs [totalqc=6.13E-05]
EXP-01946-01947_013026,TIS10543-004-001-002,rounding_only,fraction_empty_cells: [metric=8.978502898771e-05] vs [totalqc=8.98E-05]
EXP-01946-01947_013026,TIS10546-002-002-039,rounding_only,negative_control_probe_counts_per_control_per_cell: [metric=7.77721328702963e-05] vs [totalqc=7.78E-05]
EXP-01967-01968_021226,TIS10546-002-002-033,rounding_only,negative_control_probe_counts_per_control_per_cell: [metric=8.86600822079744e-05] vs [totalqc=8.87E-05] | fraction_empty_cells: [metric=9.02392694224208e-06] vs [totalqc=9.02E-06]
