run_name,cassette_name,region_name,panel_name,panel_design_id,predesigned_panel_id,region_area,total_cell_area,total_high_quality_decoded_transcripts,fraction_transcripts_decoded_q20,fraction_predesigned_transcripts_decoded_q20,fraction_custom_transcripts_decoded_q20,nuclear_transcripts_per_100um2,decoded_transcripts_per_100um2,adjusted_negative_control_probe_rate,adjusted_negative_control_codeword_rate,adjusted_genomic_control_probe_rate,negative_control_probe_counts_per_control_per_cell,genomic_control_probe_counts_per_control_per_cell,estimated_number_of_false_positive_transcripts_per_cell,estimated_number_of_false_positive_transcripts_per_cell_including_genomic_counts,num_cells_detected,fraction_empty_cells,cells_per_100um2,fraction_transcripts_assigned,median_genes_per_cell,median_predesigned_genes_per_cell,median_custom_genes_per_cell,median_transcripts_per_cell,median_predesigned_transcripts_per_cell,median_custom_transcripts_per_cell,thickness_transcripts_high_quality,stain_definition,segmented_cell_stain_frac,segmented_cell_boundary_frac,segmented_cell_interior_frac,segmented_cell_nuc_expansion_frac,segmented_cell_boundary_count,segmented_cell_interior_count,segmented_cell_nuc_expansion_count,fraction_of_ambiguous_nucleus_mask_pixels,fraction_of_ambiguous_cell_mask_pixels,fraction_of_nucleus_polygons_removed,fraction_of_cell_polygons_removed,fraction_of_nuclei_without_cell,number_of_cell_non_simple_polygons,number_of_cell_multi_polygons,number_of_nucleus_non_simple_polygons,number_of_nucleus_multi_polygons,segmented_cell_imported_frac,segmented_cell_imported_count
EXP-01913-01914_01-23-2026,EXP-01913,TIS10546-002-002-032,mMulti_480g,MNANMQ,,14567694.2114062,7450972.30561925,43148038,0.832212681804548,,,553.572930453821,555.281221066912,0.0004472710533034,0.000537583291840884,,0.000180184639754474,,0.0864886270821474,,202015,2.47506373288742e-05,1.38673284233153,0.958881374861123,71,,,189,,,4.60464300438836,xenium_cell_segmentation_stains_v1,0.994332104051679,0.131460535108779,0.8628715689429,0.00566789594832067,26557,174313,1145,,,,,,,,,,,
EXP-01913-01914_01-23-2026,EXP-01913,TMA00319,mMulti_480g,MNANMQ,,6338621.105,180796.60031274,495939,0.834407035454883,,,274.744197361807,234.937492887177,0.0112358191869499,0.000505273916319187,,0.00354017501988862,,1.69928400954654,,2514,0.0178997613365155,0.0396616229043399,0.856474284135751,32,,,55,,,7.28702831006303,xenium_cell_segmentation_stains_v1,0.918854415274463,0.0600636435958632,0.8587907716786,0.081145584725537,151,2159,204,,,,,,,,,,,
EXP-01975-01976_021326,EXP-01975,tss10546-001,mMulti_480g,TV46KD,,12375258.0270312,7374971.17317298,54863398,0.701437817553234,,,754.208272234232,729.713062415217,0.0020376981352798,0.0024592635272784,,0.00105100255036857,,0.504481224176916,,207421,0.0018079172311386,1.67609434524057,0.980911317231937,96,,,245,,,8.35831865547753,xenium_cell_segmentation_stains_v1,0.991702865187228,0.0133544819473438,0.978348383239884,0.00829713481277209,2770,202930,1721,,,,,,,,,,,
EXP-01975-01976_021326,EXP-01975,tss10766-001,mMulti_480g,TV46KD,,88956427.286875,29714179.5551581,178089618,0.845683897496813,,,629.878180713428,527.598235411436,0.00400153640134689,0.000533581957981328,,0.00267803192840192,,1.28545532563292,,456772,0.000901981732680635,0.513478355562728,0.880295486960952,81,,,270,,,7.95099379509049,xenium_cell_segmentation_stains_v1,0.979398912367658,0.352180081090785,0.627218831276873,0.0206010876323417,160866,286496,9410,,,,,,,,,,,
EXP-01975-01976_021326,EXP-01975,tss10766-002,mMulti_480g,TV46KD,,23748279.0007812,7045669.79512592,46908707,0.861371658787528,,,647.840698474227,586.937526203794,0.00668968708972654,0.000480584721160334,,0.00486549093771773,,2.33543565010451,,110513,0.00118538090541387,0.46535161556913,0.881577912603731,85,,,288,,,7.73685727936219,xenium_cell_segmentation_stains_v1,0.978346438880494,0.343651878059595,0.634694560820899,0.0216535611195063,37978,70142,2393,,,,,,,,,,,
EXP-01954-01955_20260204,EXP-01954,TMA10764-001,mMulti_480g,TV46KD,,18485144.1214062,6268696.38270379,30797760,0.874700964709128,,,489.506321645332,431.722631752778,0.0440329309473344,0.000403298928841545,,0.020309925719504,,9.74876434536194,,106219,0.000263606322785992,0.574618186920143,0.878745110033976,76,,,179,,,7.99493096105151,xenium_cell_segmentation_stains_v1,0.973874730509607,0.280665417674804,0.693209312834804,0.0261252694903925,29812,73632,2775,,,,,,,,,,,
EXP-01954-01955_20260204,EXP-01954,TMA10764-002,mMulti_480g,TV46KD,,103956997.890469,29906467.5635442,130163709,0.874632173256901,,,460.7173996499,380.570593160724,0.0246605614530961,0.000288825071392585,,0.01164720337437,,5.5906576196976,,454959,0.000529718062506679,0.437641533742014,0.874400567365517,74,,,192,,,7.040754439535,xenium_cell_segmentation_stains_v1,0.977925483395207,0.398066638971863,0.579858844423344,0.022074516604793,181104,263812,10043,,,,,,,,,,,
EXP-01975-01976_021326,EXP-01976,tss10767-001,mMulti_480g,TV46KD,,80900095.8023437,24968392.5250782,117470178,0.812405995460022,,,505.224888951924,421.721305823913,0.00755228707888096,0.00094241189667053,,0.00398637954766901,,1.91346218288112,,387946,0.0074340243229728,0.479537132994051,0.896372447822459,74,,,210,,,10.4953267304864,xenium_cell_segmentation_stains_v1,0.962373629319545,0.21823140333964,0.744142225979904,0.0376263706804555,84662,288687,14597,,,,,,,,,,,
EXP-01975-01976_021326,EXP-01976,tss10767-002,mMulti_480g,TV46KD,,22015031.7103125,7361878.38894773,44899850,0.902824638074189,,,583.975058167357,540.829675477579,0.0103397927829615,0.000788397814566019,,0.00634746447961188,,3.0467829502137,,129855,0.000585268183743382,0.589846981411215,0.886756258651198,78,,,243,,,6.00814697544885,xenium_cell_segmentation_stains_v1,0.981325324400293,0.357090601055023,0.62423472334527,0.0186746755997074,46370,81060,2425,,,,,,,,,,,
EXP-01954-01955_20260204,EXP-01955,TMA10765-001,mMulti_480g,TV46KD,,30330772.8460937,11040754.5071748,56637244,0.869638927202736,,,494.288170490347,455.549373616768,0.00557131695218169,0.000444171380628484,,0.0032712292249077,,1.5701900279557,,169554,0.000690045649173743,0.559016418277111,0.888039114332611,72,,,230,,,6.66604815472934,xenium_cell_segmentation_stains_v1,0.982418580511224,0.381795770079149,0.600622810432075,0.0175814194887764,64735,101838,2981,,,,,,,,,,,
